Black Body Radiation Experiment Wed, Sep 23, 2020 11:59 AM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.17064
0.00000	-0.17242
0.00000	-0.17950
0.00000	-0.17725
0.00000	-0.18015
0.00000	-0.18353
0.00000	-0.17258
0.00000	-0.17999
0.00000	-0.16919
0.00000	-0.16565
0.00000	-0.17161
0.00000	-0.16323
0.00000	-0.16887
0.00000	-0.19175
0.00000	-0.17177
0.00000	-0.18691
0.00000	-0.16549
0.00000	-0.16275
0.00000	-0.18160
0.00000	-0.17258
0.00000	-0.17805
0.00000	-0.15582
0.00000	-0.16662
0.00000	-0.16404
0.00000	-0.17854
0.00000	-0.16710
0.00000	-0.17515
0.00000	-0.17387
0.00000	-0.18691
0.00000	-0.15888
0.00000	-0.17709
0.00000	-0.17999
0.00000	-0.17048
0.00000	-0.16162
0.00000	-0.17225
0.00000	-0.17886
0.00000	-0.16871
0.00000	-0.17419
0.00000	-0.17564
0.00000	-0.17064
0.00000	-0.16243
0.00000	-0.17676
0.00000	-0.18627
0.00000	-0.16758
0.00000	-0.16404
0.00000	-0.18675
0.00000	-0.17145
0.00000	-0.18144
0.00000	-0.17467
0.00000	-0.16629
0.00000	-0.18482
0.00000	-0.16355
0.00000	-0.16420
0.00000	-0.17966
0.00000	-0.17838
0.00000	-0.16114
0.00000	-0.17000
0.00000	-0.15341
0.00000	-0.19207
0.00000	-0.17870
0.00000	-0.18063
0.00000	-0.16130
0.00000	-0.17016
0.00000	-0.19046
0.00000	-0.18482
0.00000	-0.15792
0.00000	-0.17725
0.00000	-0.17564
0.00000	-0.16694
0.00000	-0.16082
0.00000	-0.17370
0.00000	-0.18240
0.00000	-0.16629
0.00000	-0.15469
0.00000	-0.17773
0.00000	-0.17983
0.00000	-0.16162
0.00000	-0.16549
0.00000	-0.18917
0.00000	-0.17499
0.00000	-0.16726
0.00000	-0.15969
0.00000	-0.18691
0.00000	-0.17564
0.00000	-0.14970
0.00000	-0.16484
0.00000	-0.17870
0.00000	-0.19400
0.00000	-0.16033
0.00000	-0.15904
0.00000	-0.16291
0.00000	-0.18514
0.00000	-0.16581
0.00000	-0.16662
0.00000	-0.16259
0.00000	-0.15711
0.00000	-0.16726
0.00000	-0.17129
0.00000	-0.15486
0.00000	-0.15018
0.00000	-0.13971
0.00000	-0.15421
0.00000	-0.14761
0.00000	-0.16533
0.00000	-0.15018
0.00000	-0.13971
0.00000	-0.15502
0.00000	-0.16484
0.00000	-0.15937
0.00000	-0.14825
0.00000	-0.15663
0.00000	-0.15341
0.00000	-0.17644
0.00000	-0.14084
