Black Body Radiation Experiment Wed, Sep 23, 2020 1:04 PM
Sensor Position (Degrees)	Light Intensity (Volts)
0.00000	-0.00149
0.00000	0.00608
0.00000	0.00334
0.00000	0.00318
0.00000	0.00334
0.00000	-0.00036
0.00000	0.00302
0.00000	0.00221
0.00000	0.00044
0.00000	-0.00004
0.00000	0.00399
0.00000	0.00125
0.00000	0.00415
0.00000	0.00012
0.00000	0.00544
0.00000	0.00044
0.00000	0.00286
0.00000	-0.00052
0.00000	0.00334
0.00000	0.00189
0.00000	0.00383
0.00000	0.00012
0.00000	0.00109
0.00000	-0.00036
0.00000	0.00012
0.00000	-0.00052
0.00000	0.00189
0.00000	0.00238
0.00000	0.00012
0.00000	-0.00536
0.00000	0.00334
0.00000	-0.00036
0.00000	0.00157
0.00000	0.00383
0.00000	-0.00101
0.00000	0.00318
0.00000	0.00431
0.00000	0.00270
0.00000	0.00044
0.00000	-0.00117
0.00000	0.00093
0.00000	0.00205
0.00000	0.00205
0.00000	0.00205
0.00000	-0.00149
0.00000	0.00238
0.00000	-0.00230
0.00000	0.00221
0.00000	0.00109
0.00000	-0.00101
0.00000	0.00012
0.00000	-0.00085
0.00000	0.00173
0.00000	-0.00149
0.00000	-0.00149
0.00000	0.00028
0.00000	0.00060
0.00000	0.00076
0.00000	0.00189
0.00000	-0.00246
0.00000	-0.00181
0.00000	0.00157
0.00000	-0.00278
0.00000	-0.00214
0.00000	0.00221
0.00000	-0.00181
0.00000	0.00270
0.00000	0.00076
0.00000	-0.00262
0.00000	0.00157
0.00000	0.00221
0.00000	0.00044
0.00000	0.00302
0.00000	0.00189
0.00000	0.00366
0.00000	-0.00069
0.00000	0.00157
0.00000	-0.00278
0.00000	-0.00052
0.00000	0.00189
0.00000	-0.00004
0.00000	0.00189
0.00000	0.00076
0.00000	0.00350
0.00000	0.00157
0.00000	0.00141
0.00000	-0.00391
0.00000	-0.00004
0.00000	-0.00020
0.00000	0.00383
0.00000	0.00060
0.00000	-0.00069
0.00000	0.00093
0.00000	-0.00020
0.00000	-0.00246
0.00000	-0.00181
0.00000	-0.00069
0.00000	-0.00101
0.00000	0.00205
0.00000	-0.00278
0.00000	-0.00294
0.00000	0.00221
0.00000	0.00012
0.00000	-0.00133
0.00000	-0.00117
0.00000	0.00399
0.00000	-0.00069
0.00000	0.00238
0.00000	-0.00069
0.00000	0.00125
0.00000	-0.00020
0.00000	0.00221
0.00000	0.00109
0.00000	0.00221
0.00000	0.00060
0.00000	0.00366
0.00000	-0.00520
0.00000	0.00173
0.00000	-0.00036
0.00000	-0.00504
0.00000	-0.00391
0.00000	0.00012
0.00000	-0.00246
0.00000	-0.00584
0.00000	-0.00036
0.00000	-0.00214
0.00000	0.00076
0.00000	-0.00262
0.00000	0.00173
0.00000	-0.00052
0.00000	0.00527
0.00000	-0.00036
0.00000	-0.00214
0.00000	0.00060
0.00000	0.00254
0.00000	0.00189
0.00000	-0.00230
0.00000	0.00109
0.00000	0.00286
0.00000	0.00125
0.00000	0.00270
0.00000	0.00318
0.00000	0.00286
0.00000	0.00334
0.00000	-0.00133
0.00000	0.00012
0.00000	0.00383
0.00000	0.00431
0.00000	0.00157
0.00000	-0.00262
0.00000	0.00254
0.00000	-0.00181
0.00000	0.00383
0.00000	-0.00278
0.00000	-0.00004
0.00000	-0.00036
0.00000	0.00495
0.00000	0.00028
0.00000	0.00044
0.00000	0.00125
0.00000	0.00205
0.00000	-0.00020
0.00000	-0.00004
0.00000	0.00060
0.00000	0.00028
0.00000	-0.00069
0.00000	0.00511
0.00000	0.00093
0.00000	0.00302
0.00000	0.00157
0.00000	0.00044
0.00000	-0.00020
0.00000	-0.00181
0.00000	-0.00117
0.00000	0.00254
0.00000	0.00125
0.00000	-0.00069
0.00000	-0.00230
0.00000	-0.00069
0.00000	0.00286
0.00000	0.00109
0.00000	0.00189
0.00000	0.00318
0.00000	0.00286
-0.01035	0.00157
-0.01035	0.00109
-0.01035	-0.00181
-0.01035	-0.00052
-0.01035	0.00157
-0.01035	0.00173
-0.01035	-0.00117
-0.01035	0.00254
-0.01035	0.00302
-0.01035	0.00431
-0.01035	-0.00004
-0.01035	-0.00085
-0.01035	0.00254
-0.01035	0.00189
-0.01035	0.00157
-0.01035	0.00012
-0.01035	0.00044
-0.01035	0.00157
-0.01035	0.00125
-0.01035	0.00463
-0.01035	0.00334
-0.01035	0.00044
-0.01035	-0.00133
-0.01035	0.00093
-0.01035	0.00076
-0.01035	0.00318
-0.01035	0.00527
-0.01035	-0.00359
-0.01035	0.00012
-0.01035	0.00286
-0.01035	-0.00020
-0.01035	0.00173
-0.01035	0.00544
-0.01035	0.00995
-0.01035	0.00028
-0.01035	0.00060
-0.01035	0.00189
-0.01035	0.00431
-0.01035	0.00576
-0.01035	0.00076
-0.01035	0.00366
-0.01035	0.00431
-0.01035	0.00399
-0.01035	0.00109
-0.01035	0.00640
-0.01035	-0.00133
-0.01035	0.00511
-0.01035	0.00044
-0.01035	0.00302
-0.01035	0.00399
-0.01035	-0.00052
-0.01035	0.00350
-0.01035	0.00415
-0.01035	0.00447
-0.01035	0.00109
-0.01035	0.00238
-0.01035	0.00157
-0.01035	0.00415
-0.01035	0.00221
-0.01035	-0.00036
-0.01035	0.00576
-0.01035	0.00318
-0.01035	0.00318
-0.01035	0.00286
-0.01035	0.00576
-0.01035	0.00334
-0.01035	0.00689
-0.01035	0.00527
-0.01035	0.00189
-0.01035	-0.00117
-0.01035	0.00254
-0.01035	0.00705
-0.01035	0.00189
-0.01035	0.00463
-0.01035	0.00125
-0.01035	0.00012
-0.01035	0.00431
-0.01035	0.00254
-0.01035	0.00334
-0.01035	0.00221
-0.01035	0.00334
-0.01035	0.00850
-0.01035	0.00479
-0.01035	0.00109
-0.01035	0.00318
-0.01035	0.00173
-0.01035	0.00592
-0.01035	0.00479
0.00000	0.00173
0.00000	0.00157
0.00000	0.00431
0.00000	0.00447
0.00000	0.00350
0.00000	0.00286
0.00000	0.00656
0.00000	0.00076
0.00000	0.00447
0.00000	0.00157
0.01035	0.00302
0.03104	0.00479
0.04139	0.00060
0.06209	0.00350
0.08279	0.00270
0.10348	0.00463
0.13453	0.00221
0.16557	0.00415
0.20696	0.00785
0.27940	0.00270
0.34149	0.00383
0.44497	0.00350
0.53811	0.00109
0.63124	0.00189
0.71403	0.00399
0.77611	0.00060
0.85890	0.00447
0.95203	-0.00117
1.01412	0.00399
1.04517	0.00672
1.04517	0.00608
1.04517	0.00463
1.04517	0.00318
1.04517	-0.00069
1.05552	0.00350
1.06586	0.00463
1.06586	0.00254
1.06586	0.00270
1.06586	0.00399
1.07621	0.00576
1.11761	0.00479
1.20039	0.00576
1.31422	0.00544
1.40735	0.00076
1.49014	-0.00020
1.55223	0.00221
1.60397	0.00012
1.65571	0.00608
1.71780	0.00141
1.77989	-0.00133
1.83163	0.00399
1.88337	0.00495
1.93511	0.00366
1.96616	0.00560
2.00755	0.00060
2.03859	0.00527
2.06964	0.00479
2.11103	0.00511
2.14208	0.00350
2.18347	0.00544
2.22486	0.00463
2.25591	0.00125
2.28695	0.00447
2.32834	0.00431
2.35939	0.00463
2.39043	0.00366
2.43183	0.00479
2.47322	0.00511
2.51461	0.00221
2.55600	0.00753
2.60775	0.00850
2.65949	0.00415
2.70088	0.00109
2.76297	0.00415
2.81471	0.00060
2.87680	0.00012
2.92854	0.00157
2.98028	0.00383
3.01133	0.00141
3.06307	0.00334
3.10446	0.00060
3.13550	0.00737
3.17690	0.00302
3.21829	0.00527
3.25968	0.00254
3.29073	0.00431
3.33212	0.00318
3.36316	0.00093
3.41490	0.00576
3.45630	0.00318
3.51839	0.00270
3.58048	-0.00036
3.63222	0.00544
3.68396	0.00221
3.72535	0.00495
3.76674	0.00479
3.81848	0.00415
3.85988	0.00366
3.90127	0.00350
3.95301	0.00399
3.99440	0.00350
4.03580	0.00076
4.05649	0.00624
4.08754	0.00173
4.11858	0.00527
4.14963	0.00109
4.18067	0.00205
4.22206	0.00157
4.25311	0.00254
4.29450	0.00447
4.33589	0.00399
4.38764	0.00350
4.43938	0.00318
4.48077	0.00399
4.53251	0.00286
4.58425	0.00028
4.64634	0.00608
4.68773	0.00640
4.72913	0.00383
4.76017	0.00511
4.80156	0.00221
4.83261	0.00560
4.87400	0.00737
4.90504	0.00640
4.93609	0.00463
4.97748	0.00511
5.01888	0.00366
5.06027	0.00721
5.09131	0.00785
5.12236	0.00721
5.15340	0.00817
5.18445	0.00527
5.21549	0.00415
5.26723	0.00689
5.32932	0.00705
5.37071	0.00383
